spd2,id,dil1,allowed_voters,spd1,pir2,voters,fdp2,cdu1,desc,invalid2,pir1,votes1,invalid1,cdu2,gru2,name,fdp1,votes2,gru1,dil2,search,city,turnout,voters_rate,allowed_voters_rate,votes_needed,impact,below,above
22850,104,1377,88862,25376,4193,51270,3908,13193,"Von der kreisfreien Stadt Hagen die Stadtbezirke 4 Eilpe/Dahl und 5 Haspe sowie vom Ennepe-Ruhr-Kreis die Gemeinden Breckerfeld, Ennepetal und Gevelsberg",651,4463,50452,818,10857,4948,Hagen II - Ennepe-Ruhr-Kreis III,2236,50619,3807,1244,"hagen ii - ennepe-ruhr-kreis iii  en  hagen  bezirke 4 eilpe/dahl und 5 haspe sowie  ennepe-ruhr-kreis  n breckerfeld, ennepetal und gevelsberg",Hagen,0.57,0.006488831919129942,0.0067004729058081445,25376,1.2,79,48
29840,105,1629,108239,33270,5231,67928,5483,16053,"Vom Ennepe-Ruhr-Kreis die Gemeinden Hattingen, Schwelm, Sprockhövel und Wetter (Ruhr)",919,5453,66742,1186,13802,8137,Ennepe-Ruhr-Kreis I,3872,67009,6465,1586,"ennepe-ruhr-kreis i ennepe-ruhr-kreis  n hattingen, schwelm, sprockhövel und wetter (ruhr)",Ennepe-Ruhr-Kreis,0.62,0.00859710112351587,0.008161559348785395,33270,0.7,12,115
26678,106,1997,95314,26448,4704,58227,3866,12087,Vom Ennepe-Ruhr-Kreis die Gemeinden Witten und Herdecke,809,5191,57209,1018,10264,7801,Ennepe-Ruhr-Kreis II,2438,57418,9048,1583,ennepe-ruhr-kreis ii ennepe-ruhr-kreis  n witten und herdecke,Ennepe-Ruhr-Kreis,0.6,0.007369323506049915,0.007186973898226435,26448,1.1,68,59
28919,107,2184,102459,32844,5447,60947,2859,11780,"Von der kreisfreien Stadt Bochum die Kommunalwahlbezirke 10, 11, 14, 17, 31, 32, 33, 41, 42, 43, 44 und 45",927,6066,59866,1081,10172,7530,Bochum I,1730,60020,5262,2209,"bochum i  en  bochum  e 10, 11, 14, 17, 31, 32, 33, 41, 42, 43, 44 und 45",Bochum,0.58,0.007713572049448266,0.007725729259483206,32844,0.7,18,109
28550,108,2147,98083,33940,4862,65310,4637,14993,"Von der kreisfreien Stadt Bochum die Kommunalwahlbezirke 13, 26, 51, 52, 53, 54, 61, 62, 63, 64 und 65",777,4857,64389,921,12529,9491,Bochum II,2330,64533,6122,2154,"bochum ii  en  bochum  e 13, 26, 51, 52, 53, 54, 61, 62, 63, 64 und 65",Bochum,0.66,0.008265761900494958,0.0073957651641914455,33940,0.6,8,119
28300,109,2588,106059,29551,5317,58917,2583,12224,"Von der kreisfreien Stadt Bochum die Kommunalwahlbezirke 12, 15, 16, 18, 21, 22, 23, 24, 25 und 27 sowie von der kreisfreien Stadt Herne der Stadtbezirk Eickel",921,6285,57749,1168,10037,6025,Bochum III - Herne II,1835,57996,5266,2392,"bochum iii - herne ii  en  bochum  e 12, 15, 16, 18, 21, 22, 23, 24, 25 und 27 sowie   en  herne  bezirk eickel",Bochum,0.54,0.0074566512615443495,0.00799718052617661,29551,0.9,37,90
24958,110,2195,91423,27076,4489,50404,2206,10145,Die kreisfreie Stadt Herne ohne den Stadtbezirk Eickel,1003,4980,49391,1013,8576,4404,Herne I,1524,49401,3471,1871,herne i e  herne ohne den bezirk eickel,Herne,0.54,0.006379229257886203,0.006893580320808648,27076,1.0,60,67
23341,111,1975,91632,24701,4827,49195,2141,8729,"Von der kreisfreien Stadt Dortmund die Stadtbezirke Innenstadt-West, Huckarde und Mengede",594,5047,48497,698,7279,7148,Dortmund I,1321,48601,6724,1830,"dortmund i  en  dortmund  bezirke innen-west, huckarde und mengede",Dortmund,0.53,0.006226215842824215,0.0069093395749027925,24701,1.2,87,40
21287,112,1950,89716,23193,4254,47223,2904,9308,"Von der kreisfreien Stadt Dortmund die Stadtbezirke Innenstadt-Nord, Innenstadt-Ost und Eving",566,4512,46493,730,7412,6712,Dortmund II,1591,46657,5773,1979,"dortmund ii  en  dortmund  bezirke innen-nord, innen-ost und eving",Dortmund,0.52,0.005976635648860411,0.0067648671785181915,23193,1.4,103,24
32830,113,2111,118957,35105,5351,67155,3797,14413,"Von der kreisfreien Stadt Dortmund die Stadtbezirke Scharnhorst, Brackel und Aplerbeck",720,5549,66311,844,12299,7617,Dortmund III,2441,66435,6692,1940,"dortmund iii  en  dortmund  bezirke scharnhorst, brackel und aplerbeck",Dortmund,0.56,0.008499268724969207,0.00896973009223537,35105,0.6,5,122
32088,114,2028,121252,33863,6272,72343,5532,17654,"Von der kreisfreien Stadt Dortmund die Stadtbezirke Hörde, Hombruch und Lütgendortmund",761,6365,71386,957,13949,8955,Dortmund IV,3099,71582,8063,1962,"dortmund iv  en  dortmund  bezirke hörde, hombruch und lütgendortmund",Dortmund,0.59,0.009155872196715768,0.009142780274752415,33863,0.6,9,118
33589,115,1665,115154,35715,5858,72943,5071,18559,"Vom Kreis Unna die Gemeinden Fröndenberg/Ruhr, Holzwickede, Schwerte und Unna",866,6133,71945,998,15291,8153,Unna I,3129,72077,6744,1507,"unna i kreis unna  n fröndenberg/ruhr, holzwickede, schwerte und unna",Unna,0.62,0.00923180937540658,0.008682971990225644,35715,0.6,4,123
30158,116,1780,110197,31754,5235,63946,3591,16501,"Vom Kreis Unna die Gemeinden Lünen, Selm und Werne",816,5618,62954,992,14408,5538,Unna II,2274,63130,5027,1584,"unna ii kreis unna  n lünen, selm und werne",Unna,0.57,0.008093131380937844,0.008309198676614752,31754,0.7,25,102
31586,117,1350,98735,32875,4901,58229,2481,11574,"Vom Kreis Unna die Gemeinden Bergkamen, Bönen und Kamen sowie von der kreisfreien Stadt Hamm der Stadtbezirk Herringen",747,5317,57336,893,9584,4890,Unna III - Hamm II,1465,57482,4755,1410,"unna iii - hamm ii kreis unna  n bergkamen, bönen und kamen sowie   en  hamm  bezirk herringen",Unna,0.58,0.007369576629978884,0.007444928004714807,32875,0.7,17,110
31103,118,1571,115375,33531,4854,67271,4014,20626,Die kreisfreie Stadt Hamm ohne den Stadtbezirk Herringen,870,4603,66205,1066,17241,5137,Hamm I,2220,66401,3654,1567,hamm i e  hamm ohne den bezirk herringen,Hamm,0.57,0.008513949912849431,0.008699636081875432,33531,0.7,10,117
26522,119,1353,115460,25498,4901,69704,5639,28777,"Vom Kreis Soest die Gemeinden Bad Sassendorf, Ense, Lippetal, Möhnesee, Soest, Welver, Werl und Wickede (Ruhr)",960,4981,68765,939,21287,6679,Soest I,2912,68744,5244,1314,"soest i kreis soest  n bad sassendorf, ense, lippetal, möhnesee, soest, welver, werl und wickede (ruhr)",Soest,0.6,0.008821875172440676,0.008706045347894582,28777,0.9,43,84
26285,120,1601,116899,28227,4918,68102,5961,24190,"Vom Kreis Soest die Gemeinden Anröchte, Erwitte, Geseke, Lippstadt, Rüthen und Warstein",950,4437,67145,957,20476,5818,Soest II,4381,67152,4309,1493,"soest ii kreis soest  n anröchte, erwitte, geseke, lipp, rüthen und warstein",Soest,0.57,0.008619122905336207,0.008814550451442308,28227,0.9,46,81
23756,121,1580,102312,25500,4725,57146,4205,19015,"Vom Märkischen Kreis die Gemeinden Altena, Iserlohn, Nachrodt-Wiblingwerde und Werdohl",819,4869,56172,974,14996,4450,Märkischer Kreis I,2135,56327,3073,1449,"märkischer kreis i märkischen kreis  n altena, iserlohn, nachrodt-wiblingwerde und werdohl",Märkischer,0.55,0.007232510022441968,0.007714644999426559,25500,1.1,77,50
22951,122,1296,105625,23034,5039,60265,4758,22755,"Vom Märkischen Kreis die Gemeinden Balve, Hemer, Menden (Sauerland), Neuenrade und Plettenberg",816,5344,59364,901,18008,4808,Märkischer Kreis II,2622,59449,4313,1235,"märkischer kreis ii märkischen kreis  n balve, hemer, menden (sauerland), neuenrade und plettenberg",Märkischer,0.56,0.007627256789669709,0.007964455567914128,23034,1.4,106,21
24673,123,1462,107715,26919,4722,59936,4843,18968,"Vom Märkischen Kreis die Gemeinden Halver, Herscheid, Kierspe, Lüdenscheid, Meinerzhagen und Schalksmühle",755,4873,59069,867,15706,5045,Märkischer Kreis III,3210,59181,3637,1403,"märkischer kreis iii märkischen kreis  n halver, herscheid, kierspe, lüdenscheid, meinerzhagen und schalksmühle",Märkischer,0.55,0.007585617903354247,0.008122048108855577,26919,1.0,61,66
22169,124,1309,106591,22199,4605,65436,5298,29034,"Vom Hochsauerlandkreis die Gemeinden Arnsberg, Eslohe (Sauerland), Schmallenberg und Sundern (Sauerland)",844,4450,64513,923,24284,5022,Hochsauerlandkreis I,2873,64592,4648,1152,"hochsauerlandkreis i hochsauerlandkreis  n arnsberg, eslohe (sauerland), schmallenberg und sunn (sauerland)",Hochsauerlandkreis,0.61,0.008281708708020028,0.008037294991143525,29034,0.9,41,86
19412,125,1140,100400,19807,4201,61002,4817,28315,"Vom Hochsauerlandkreis die Gemeinden Bestwig, Brilon, Hallenberg, Marsberg, Medebach, Meschede, Olsberg und Winterberg",1088,4192,59909,1093,23995,4074,Hochsauerlandkreis II,2361,59914,3372,1049,"hochsauerlandkreis ii hochsauerlandkreis  n bestwig, brilon, hallenberg, marsberg, medebach, meschede, olsberg und winterberg",Hochsauerlandkreis,0.6,0.007720532957494923,0.007570474215560507,28315,0.9,45,82
25403,126,1584,112772,24139,4416,62405,4781,21422,"Vom Kreis Siegen-Wittgenstein die Gemeinden Burbach, Freudenberg, Neunkirchen und Siegen",870,4591,61456,949,16411,6121,Siegen-Wittgenstein I,2406,61535,7314,1596,"siegen-wittgenstein i kreis siegen-wittgenstein  n burbach, freudenberg, neunkirchen und siegen",Siegen-Wittgenstein,0.54,0.00789809939366694,0.008503361735430174,24139,1.3,94,33
25400,127,1696,103721,25955,4183,62665,4716,22917,"Vom Kreis Siegen-Wittgenstein die Gemeinden Bad Berleburg, Bad Laasphe, Erndtebrück, Hilchenbach, Kreuztal, Netphen und Wilnsdorf",892,4453,61671,994,18084,5315,Siegen-Wittgenstein II,2527,61773,4123,1258,"siegen-wittgenstein ii kreis siegen-wittgenstein  n bad berleburg, bad laasphe, erndtebrück, hilchenbach, kreuztal, netphen und wilnsdorf",Siegen-Wittgenstein,0.59,0.007931005504432959,0.007820888009085172,25955,1.1,72,55
19076,128,1117,104327,18768,4066,62592,4761,30965,Kreis Olpe,832,4211,61718,874,26545,4157,Olpe,2642,61760,4015,1009,olpekreis olpe,Olpe,0.59,0.007921766481025577,0.007866582305645228,30965,0.8,27,100
